PESEL;RODZAJ SZCZEPIONKI;GODZINA ZASZCZEPIENIA;KTÓRA DAWKA 
50110858978;Pfizer;08:00:00;2 
09261817925;Johnson&Johnson;08:00:25;1 
78072115221;Moderna;08:00:50;1 
70021259675;Pfizer;08:01:40;2 
72091667378;Pfizer;08:02:30;2 
27111914314;Pfizer;08:02:55;1 
49071332465;Moderna;08:03:45;2 
79120586228;Moderna;08:04:10;1 
67081396912;Moderna;08:04:35;1 
33011242419;Moderna;08:05:00;1 
21060849855;Moderna;08:05:25;1 
38102913874;Pfizer;08:05:50;1 
47062844131;Johnson&Johnson;08:06:15;1 
34051574566;Pfizer;08:07:05;2 
73011179247;Moderna;08:07:30;1 
53052475966;Johnson&Johnson;08:07:55;1 
04320263493;Pfizer;08:08:20;1 
42073091965;Johnson&Johnson;08:08:45;1 
63062967472;Johnson&Johnson;08:09:10;1 
90092267861;AstraZeneca;08:10:00;2 
80042954976;AstraZeneca;08:10:50;2 
31041628249;Johnson&Johnson;08:11:15;1 
50081532381;Johnson&Johnson;08:11:40;1 
23080973394;Pfizer;08:12:30;2 
08301168793;Pfizer;08:12:55;1 
30122667854;Moderna;08:13:45;2 
91081839511;AstraZeneca;08:14:10;1 
06312031192;Johnson&Johnson;08:14:35;1 
59052074723;Moderna;08:15:25;2 
06230853227;AstraZeneca;08:16:15;2 
58081951335;Johnson&Johnson;08:16:40;1 
27122066882;Johnson&Johnson;08:17:05;1 
37081333648;Moderna;08:17:55;2 
06270811364;Johnson&Johnson;08:18:20;1 
48091864541;AstraZeneca;08:19:10;2 
23083169466;AstraZeneca;08:19:35;1 
97110669683;Johnson&Johnson;08:20:00;1 
78012238177;Johnson&Johnson;08:20:25;1 
46072512614;Pfizer;08:20:50;1 
60042047753;AstraZeneca;08:21:40;2 
77111143779;AstraZeneca;08:22:05;1 
35062321387;Johnson&Johnson;08:22:30;1 
37071876852;Moderna;08:22:55;1 
54102531931;Moderna;08:23:20;1 
26051089564;Johnson&Johnson;08:23:45;1 
86081222263;AstraZeneca;08:24:35;2 
73031494999;Johnson&Johnson;08:25:00;1 
92040472666;Moderna;08:25:50;2 
32042611696;Moderna;08:26:40;2 
37111128178;Johnson&Johnson;08:27:05;1 
06300133215;AstraZeneca;08:27:30;1 
80052194768;Johnson&Johnson;08:27:55;1 
26123154893;Moderna;08:28:45;2 
47082776625;Johnson&Johnson;08:29:10;1 
88032584231;AstraZeneca;08:30:00;2 
05290223386;AstraZeneca;08:30:50;2 
80071854614;Johnson&Johnson;08:31:15;1 
30042155167;Pfizer;08:32:05;2 
39020468846;Pfizer;08:32:30;1 
26071021775;AstraZeneca;08:33:20;2 
48032821921;AstraZeneca;08:33:45;1 
25102773182;Johnson&Johnson;08:34:10;1 
40071985752;Moderna;08:34:35;1 
09262126415;Pfizer;08:35:25;2 
45060687659;AstraZeneca;08:36:15;2 
83030333139;Johnson&Johnson;08:36:40;1 
24022581495;AstraZeneca;08:37:05;1 
02210873643;AstraZeneca;08:37:30;1 
37102057511;Johnson&Johnson;08:37:55;1 
56111381211;Johnson&Johnson;08:38:20;1 
90011425154;Moderna;08:38:45;1 
75122442737;Pfizer;08:39:10;1 
39012798522;Pfizer;08:40:00;2 
39040935551;Pfizer;08:40:50;2 
75042594631;AstraZeneca;08:41:40;2 
21071449826;Johnson&Johnson;08:42:05;1 
57120218226;Johnson&Johnson;08:42:30;1 
94051417957;Johnson&Johnson;08:42:55;1 
58110232598;Johnson&Johnson;08:43:20;1 
00300964288;Pfizer;08:43:45;1 
29111941222;Pfizer;08:44:10;1 
27020478556;Pfizer;08:44:35;1 
95021791233;Pfizer;08:45:25;2 
99112669616;Johnson&Johnson;08:45:50;1 
91032773736;Johnson&Johnson;08:46:15;1 
89120883737;Moderna;08:47:05;2 
60120982978;Pfizer;08:47:55;2 
04251789857;Johnson&Johnson;08:48:20;1 
80012713181;Pfizer;08:49:10;2 
94041961639;AstraZeneca;08:50:00;2 
50111694643;Johnson&Johnson;08:50:25;1 
67112236219;Moderna;08:50:50;1 
32092977283;Moderna;08:51:40;2 
00262529215;Johnson&Johnson;08:52:05;1 
01272579522;Moderna;08:52:30;1 
34091272611;Johnson&Johnson;08:52:55;1 
77101646981;Pfizer;08:53:45;2 
83071365249;Pfizer;08:54:35;2 
09240422641;Johnson&Johnson;08:55:00;1 
59021867451;Johnson&Johnson;08:55:25;1 
81123191495;Johnson&Johnson;08:55:50;1 
67012096173;Moderna;08:56:40;2 
28062088796;AstraZeneca;08:57:30;2 
28091755537;Johnson&Johnson;08:57:55;1 
28090956441;Moderna;08:58:20;1 
69040264526;Johnson&Johnson;08:58:45;1 
70121095641;Pfizer;08:59:10;1 
47052571135;Johnson&Johnson;08:59:35;1 
39052018691;AstraZeneca;09:00:25;2 
98102845698;AstraZeneca;09:01:15;2 
30120774884;AstraZeneca;09:01:40;1 
93053117612;AstraZeneca;09:02:05;1 
95020838469;Johnson&Johnson;09:02:30;1 
49070153629;Pfizer;09:02:55;1 
39122971633;Johnson&Johnson;09:03:20;1 
85081929118;Moderna;09:04:10;2 
92092117665;Moderna;09:05:00;2 
80022149598;Moderna;09:05:25;1 
99071754978;Pfizer;09:06:15;2 
56100584638;Johnson&Johnson;09:06:40;1 
30091772595;Moderna;09:07:30;2 
96112289132;Johnson&Johnson;09:07:55;1 
89103094464;Moderna;09:08:20;1 
57062327125;Johnson&Johnson;09:08:45;1 
75011014197;Moderna;09:09:35;2 
37021188952;Johnson&Johnson;09:10:00;1 
94030927695;Moderna;09:10:50;2 
90070329455;Johnson&Johnson;09:11:15;1 
81021221117;Johnson&Johnson;09:11:40;1 
05240284175;Moderna;09:12:30;2 
64111126325;Johnson&Johnson;09:12:55;1 
71072788389;Pfizer;09:13:45;2 
67010775979;Moderna;09:14:10;1 
03250482273;AstraZeneca;09:15:00;2 
80062327468;Johnson&Johnson;09:15:25;1 
34072791434;Moderna;09:15:50;1 
34072025193;Johnson&Johnson;09:16:15;1 
92092613147;Moderna;09:16:40;1 
62062544768;AstraZeneca;09:17:05;1 
91090998791;Johnson&Johnson;09:17:30;1 
45070896489;Pfizer;09:18:20;2 
75061093928;Pfizer;09:18:45;1 
24040515461;Johnson&Johnson;09:19:10;1 
91021463961;Johnson&Johnson;09:19:35;1 
03252684819;Moderna;09:20:25;2 
65060997484;Johnson&Johnson;09:20:50;1 
50112986994;Moderna;09:21:15;1 
92050952574;AstraZeneca;09:21:40;1 
27013163713;Johnson&Johnson;09:22:05;1 
00232645181;Pfizer;09:22:30;1 
05272744926;Moderna;09:23:20;2 
61051099636;Johnson&Johnson;09:23:45;1 
07302347297;Johnson&Johnson;09:24:10;1 
44030414866;Moderna;09:24:35;1 
24072971778;Pfizer;09:25:00;1 
39110151243;Pfizer;09:25:50;2 
94062419713;AstraZeneca;09:26:40;2 
76040728262;AstraZeneca;09:27:30;2 
07291427318;Johnson&Johnson;09:27:55;1 
79070718249;Pfizer;09:28:20;1 
63122321648;Moderna;09:29:10;2 
08311797114;Moderna;09:29:35;1 
37062822738;Moderna;09:30:25;2 
56051159743;Johnson&Johnson;09:30:50;1 
94073125933;Pfizer;09:31:40;2 
36082258958;Moderna;09:32:30;2 
00212411694;Moderna;09:32:55;1 
63071973572;Moderna;09:33:45;2 
59010456695;Johnson&Johnson;09:34:10;1 
90041954525;Pfizer;09:35:00;2 
58101383247;Pfizer;09:35:25;1 
02241531831;Pfizer;09:36:15;2 
63051587142;AstraZeneca;09:37:05;2 
64102333648;AstraZeneca;09:37:30;1 
70091927892;AstraZeneca;09:38:20;2 
63020713774;Johnson&Johnson;09:38:45;1 
89113013767;AstraZeneca;09:39:10;1 
92072495734;Johnson&Johnson;09:39:35;1 
49080779631;Moderna;09:40:25;2 
28092633517;Moderna;09:41:15;2 
21080584273;Johnson&Johnson;09:41:40;1 
32112595116;Johnson&Johnson;09:42:05;1 
20112516264;Pfizer;09:42:55;2 
45110598883;Johnson&Johnson;09:43:20;1 
21101152285;Moderna;09:44:10;2 
08302171385;Johnson&Johnson;09:44:35;1 
83062193714;Moderna;09:45:25;2 
56062628229;Johnson&Johnson;09:45:50;1 
60080277677;Moderna;09:46:15;1 
47071349645;Johnson&Johnson;09:46:40;1 
49052312275;AstraZeneca;09:47:05;1 
96090531816;Johnson&Johnson;09:47:30;1 
68070965829;Moderna;09:47:55;1 
70033049684;AstraZeneca;09:48:45;2 
26121298171;AstraZeneca;09:49:35;2 
63032962627;Johnson&Johnson;09:50:00;1 
48090527757;AstraZeneca;09:50:25;1 
54111621272;Johnson&Johnson;09:50:50;1 
64052194515;Pfizer;09:51:15;1 
98041093895;Moderna;09:51:40;1 
64070762664;Pfizer;09:52:05;1 
81072643636;AstraZeneca;09:52:55;2 
58030815749;Johnson&Johnson;09:53:20;1 
34032429818;Moderna;09:53:45;1 
42020779674;Moderna;09:54:10;1 
54061265142;Johnson&Johnson;09:54:35;1 
44092266689;Pfizer;09:55:00;1 
35010956137;Moderna;09:55:50;2 
77120652211;AstraZeneca;09:56:15;1 
31092778122;Johnson&Johnson;09:56:40;1 
83031792287;Moderna;09:57:30;2 
70081252384;Pfizer;09:57:55;1 
35120744569;Moderna;09:58:20;1 
58082763724;Johnson&Johnson;09:58:45;1 
76042197176;Moderna;09:59:10;1 
95062748474;Johnson&Johnson;09:59:35;1 
37121545255;Johnson&Johnson;10:00:00;1 
39072133424;Moderna;10:00:50;2 
55031313863;Moderna;10:01:40;2 
29041816146;Johnson&Johnson;10:02:05;1 
27040982659;Johnson&Johnson;10:02:30;1 
02311171927;AstraZeneca;10:02:55;1 
08241598142;Johnson&Johnson;10:03:20;1 
01211021239;Pfizer;10:04:10;2 
